Sequence Number,Main Plant Group,Family Name (English),Family (Scientific),Genus Name (English),Genus (Scientific),English Plant Name,English Alias,Scientific Name,Author,Distribution,Habitat,Life Form,Height,Morphology,Halophyte Type,Ecological Type,Maximum Salinity,Salinity Data Source,Photosynthetic Pathway,Uses,Literature Sources
1,I. Ferns,Lygodiaceae,Lygodiaceae,Lygodium,Lygodium,Lygodium japonicum,,Lygodium japonicum,(Thunb.) Sw.,Distributed in coastal areas of southern China; also found in southern Asia and Australia.,Occurs in coastal shrubland.,"Climbing perennial fern, phanerophyte",Plant height 1–4 m,"Bipinnate leaves, ultimate lobes short and broad; sporangiophore spike borne on fertile pinnae margin, fringed.",Salt-excluding halophyte,Mesophytic,"Unknown, 200 mM (estimated value)",0,C3,Medicinal,Supplemented based on field surveys
2,I. Ferns,Pteridaceae,Pteridaceae,Acrostichum,Acrostichum,Acrostichum aureum,,Acrostichum aureum,L.,"Distributed in Guangdong, Hainan and Yunnan; widely distributed in pantropical regions.",Occurs in coastal mangrove forests or waterside mudflats.,"Perennial fern, hemicryptophyte",Plant height 1–2 m,"Once-pinnate leaves clustered, pinnae mostly reaching 30 pairs, lanceolate, thickly leathery, apex rounded or notched; sporangia densely covering fertile pinnae lower surface.",Salt-excluding halophyte,Aquatic,500 mM (seawater salinity),Salinity tolerance value from database,C3,"Leaves used as a vegetable, ornamental, ecological use","eHALOPH; Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
3,I. Ferns,Pteridaceae,Pteridaceae,Acrostichum,Acrostichum,Acrostichum speciosum,,Acrostichum speciosum,Willd.,Distributed in Guangdong and Hainan; Australia also found.,Occurs in coastal mangrove forests or waterside mudflats.,"Perennial fern, hemicryptophyte",Plant height 1.5 m,"Petiole base covered with scale; pinnae about 15 pairs, broad lanceolate, apex slightly becoming narrow and short-acuminate.",Salt-excluding halophyte,Aquatic,500 mM (seawater salinity),Salinity tolerance value from database,C3,"Wild vegetable, ornamental, ecological use","eHALOPH; Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
4,I. Ferns,Blechnaceae,Blechnaceae,Stenochlaena,Stenochlaena,Stenochlaena palustris,,Stenochlaena palustris,(Burm. f.) Bedd.,"Distributed in Guangdong, Guangxi and Hainan and elsewhere; also found in southern Asia and Oceania.",Occurs in secondary open woodland in coastal areas.,"Epiphytic climbing perennial fern, phanerophyte",Plant height 1–5 m,"Rhizome horizontally creeping; plant climbing; odd-pinnate, smooth, pinnae lanceolate, leathery, lustrous; fertile pinnae linear, sori densely covering lower leaf surface.",Salt-excluding halophyte,Mesophytic,500 mM (seawater salinity),Salinity tolerance value from database,C3,"Ornamental, ecological use",eHALOPH
5,I. Ferns,Dryopteridaceae,Dryopteridaceae,Cyrtomium,Cyrtomium,Cyrtomium falcatum,,Cyrtomium falcatum,(L.f.) C.Presl,Distributed in coastal areas of eastern China; Asian coasts and Pacific islands also found.,Occurs in coastal reef crevices.,"Perennial fern, hemicryptophyte",Plant height 30–40 cm,"Odd-pinnate leaves, lateral pinnae ovate or ovate-lanceolate, leathery, smooth, entire, terminal pinnae two forked or three forked-shaped; sori covering the abaxial surface of the pinnae.",Salt-excluding halophyte,Mesophytic,"Unknown, 300 mM (estimated value)",0,C3,"Medicinal, ornamental, ecological use","Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
6,II. Gymnosperms,Ephedraceae,Ephedraceae,Ephedra,Ephedra,Ephedra przewalskii,,Ephedra przewalskii,Stapf,Distributed in Northwest China; Central Asia and Mongolia also found.,"Occurs in desert, salinized and alkalized gravelly ground, dry river valleys or Gobi gravel desert.","Evergreen shrub, phanerophyte",Plant height 50–240 cm,"Leaves mostly 3-lobed sparse 2-lobed, membranous; spherical flower often without stalk, female spherical flower bract each whorls 3, dry membranous; seeds often 3 grains. Flowering period May–June, seeds July–August.",Salt-excluding halophyte,Xerophytic; psammophytic,"Unknown, 300 mM (estimated value)",0,C3,"Sand stabilization, ecological use",Supplemented based on field surveys
7,II. Gymnosperms,Ephedraceae,Ephedraceae,Ephedra,Ephedra,Ephedra intermedia,,Ephedra intermedia,Schrenk & C.A.Mey.,"Distributed in North China and Northwest China; North Asia, Central Asia, West Asia and South Asia also found.","Occurs in desert slopes, dry river floodplains, Gobi gravel desert and saline land.","Evergreen shrub, phanerophyte",Plant height 20–100 cm,"Leaves 3-lobed and 2-lobed and persistent; female spherical flower bract 2 or 3, with membranous margins; female spherical flower at maturity succulent red, seeds 3 or 2 grains. Flowering period May–June, seeds July–August.",Salt-excluding halophyte,Xerophytic; psammophytic,"Unknown, 300 mM (estimated value)",0,C3,"Medicinal, ecological use",Supplemented based on field surveys
8,III. Angiosperms,Annonaceae,Annonaceae,Polyalthia,Polyalthia,Polyalthia suberosa,,Polyalthia suberosa,(Roxb.) Thwaites,"Distributed in Guangdong, Guangxi and Hainan; South Asia and Southeast Asia also found.",Occurs in mountain ground open woodland.,"Evergreen shrub or small tree, phanerophyte",Plant height 2–5 m,"Leaves alternate, papery, oblong, glabrous; flower pale yellow, petals 6 segments, 2 whorls; mature carpels berry-shaped, nearly round spherical-shaped, red or black. Flowering period entire year, fruiting period spring.",Salt-excluding halophyte,Mesophytic,"Unknown, 200 mM (estimated value)",0,C3,"Ornamental, ecological use",Supplemented based on field surveys
9,III. Angiosperms,Hernandiaceae,Hernandiaceae,Hernandia,Hernandia,Hernandia nymphaeifolia,,Hernandia nymphaeifolia,(C.Presl) Kubitzki,"Distributed in Hainan and Taiwan; southern Asia, East Africa to Pacific Ocean eastern part also found.",Occurs in seashore mangrove forest or sandy beach.,"Evergreen tree, phanerophyte",Plant height 3–10 m,"Simple leaves alternate, center-shaped orbicular, peltate-shaped, entire; panicle, flower white; fruit succulent, enclosing hidden on expanded large involucre inner, succulent, seeds 1 grains. Flowering and fruiting period entire year.",Salt-excluding halophyte,Mesophytic,"Unknown, 300 mM (estimated value)",0,C3,"Ornamental, ecological use, windbreak, timber","Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
10,III. Angiosperms,Lauraceae,Lauraceae,Cassytha,Cassytha,Cassytha filiformis,,Cassytha filiformis,L.,"Distributed in coastal areas of southeastern China; also found in tropical Asia, Africa and Oceania.",Occurs in shrubland on slopes or open woodland.,"Twining perennial parasitic herb, phanerophyte",Plant height 50–200 cm,"Stem linear; leaves reduced to minute scales; spike, flowers small, white, without stalk; fruit small, ovoid, enclosed within the fleshy fruit receptacle. Flowering and fruiting period May–December.",Salt-excluding halophyte,Hygrophytic,"Unknown, 200 mM (estimated value)",0,C3,Medicinal,Supplemented based on field surveys
11,III. Angiosperms,Hydrocharitaceae,Hydrocharitaceae,Halophila,Halophila,Halophila beccarii,,Halophila beccarii,Asch.,"Distributed in Guangdong, Hainan and Taiwan; Asia tropical regions also found.",Occurs in shallow seabed.,"Perennial seagrass, geophyte",Plant height 5–10 cm,"Erect lateral branches long 1–1.5 cm; leaves 6–10 clustered stem apex, leaf blade long elliptic or lanceolate, entire, only with midrib and margin veins, without transverse veins; fruit ovate, with beak.",Euhalophyte (salt-loving plant),Aquatic,500 mM (seawater salinity),Salinity tolerance value from database,C3,Medicinal,"eHALOPH; Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
12,III. Angiosperms,Hydrocharitaceae,Hydrocharitaceae,Halophila,Halophila,Halophila minor,,Halophila minor,(Zoll.) Hartog,"Distributed in Guangdong, Hainan and Taiwan; Africa and Asia tropical regions also found.",Occurs in shallow seabed.,"Perennial seagrass, geophyte",Plant height 1–2 cm,"Leaves 2 opposite, green transparent, long elliptic or ovate, long 7–12 mm, transverse veins 3–8 pairs, and midrib jiao angles 70–90°; fruit ovate round-shaped or spherical-shaped.",Euhalophyte (salt-loving plant),Aquatic,500 mM (seawater salinity),Salinity tolerance value from database,C4,Ecological use,"eHALOPH; Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
