known_input_field,model_name,target_fields,average_mae,average_rmse,average_r2,records_used
cl_root,ridge_regression,"gr50_avg, na_shoot, na_root, cl_shoot, k_shoot, k_root",135.57295912700314,208.14813289632693,0.3145805562336849,30
cl_root,knn_5,"gr50_avg, na_shoot, na_root, cl_shoot, k_shoot, k_root",140.78833333333333,236.15782846317933,0.27808972632493023,30
cl_root,random_forest,"gr50_avg, na_shoot, na_root, cl_shoot, k_shoot, k_root",135.14402777777778,240.1069238748414,0.2941146369695577,30
cl_root,knn_3,"gr50_avg, na_shoot, na_root, cl_shoot, k_shoot, k_root",141.18703703703707,249.86263448365204,0.2277046006673659,30
cl_root,decision_tree,"gr50_avg, na_shoot, na_root, cl_shoot, k_shoot, k_root",143.39722222222224,252.0703798324763,0.19576348900516197,30
cl_shoot,knn_3,"gr50_avg, na_shoot, na_root, cl_root, k_shoot, k_root",97.45462962962962,170.64743227477908,0.503666918518319,30
cl_shoot,knn_5,"gr50_avg, na_shoot, na_root, cl_root, k_shoot, k_root",98.87722222222222,171.26958265974855,0.4951218836509972,30
cl_shoot,random_forest,"gr50_avg, na_shoot, na_root, cl_root, k_shoot, k_root",104.68447222222221,174.15029319407802,0.4738117341861075,30
cl_shoot,ridge_regression,"gr50_avg, na_shoot, na_root, cl_root, k_shoot, k_root",112.880568691616,188.97804644323205,0.30783934575823396,30
cl_shoot,decision_tree,"gr50_avg, na_shoot, na_root, cl_root, k_shoot, k_root",123.59444444444445,201.6485529055165,0.29863611110565375,30
gr50_avg,knn_3,"na_shoot, na_root, cl_shoot, cl_root, k_shoot, k_root",135.3148148148148,211.61387501476702,0.45530237340495966,30
gr50_avg,random_forest,"na_shoot, na_root, cl_shoot, cl_root, k_shoot, k_root",142.31993650793652,218.1371379249746,0.4354407901541492,30
gr50_avg,knn_5,"na_shoot, na_root, cl_shoot, cl_root, k_shoot, k_root",140.28888888888886,218.90170295261652,0.40382717804367124,30
gr50_avg,ridge_regression,"na_shoot, na_root, cl_shoot, cl_root, k_shoot, k_root",190.3236989067245,266.99220752611564,0.08133342486897187,30
gr50_avg,decision_tree,"na_shoot, na_root, cl_shoot, cl_root, k_shoot, k_root",168.05555555555557,272.21672330046965,0.14881038416425288,30
k_root,knn_3,"gr50_avg, na_shoot, na_root, cl_shoot, cl_root, k_shoot",133.20555555555555,216.92955276816832,0.45244165402953634,30
k_root,knn_5,"gr50_avg, na_shoot, na_root, cl_shoot, cl_root, k_shoot",127.46388888888889,217.87916210087135,0.4362848159435481,30
k_root,ridge_regression,"gr50_avg, na_shoot, na_root, cl_shoot, cl_root, k_shoot",153.7665655093658,239.9815214336935,0.2774964162193208,30
k_root,random_forest,"gr50_avg, na_shoot, na_root, cl_shoot, cl_root, k_shoot",147.53038697089949,242.4865287686916,0.33835203704932076,30
k_root,decision_tree,"gr50_avg, na_shoot, na_root, cl_shoot, cl_root, k_shoot",184.24305555555554,304.85817342295053,-0.013544999676852984,30
k_shoot,knn_5,"gr50_avg, na_shoot, na_root, cl_shoot, cl_root, k_root",143.9922222222222,248.10355476874753,0.25544291003631375,30
k_shoot,ridge_regression,"gr50_avg, na_shoot, na_root, cl_shoot, cl_root, k_root",168.27570938895096,258.9801301444576,0.1464241323506365,30
k_shoot,knn_3,"gr50_avg, na_shoot, na_root, cl_shoot, cl_root, k_root",148.79814814814816,266.2642148294912,0.16636787118415328,30
k_shoot,random_forest,"gr50_avg, na_shoot, na_root, cl_shoot, cl_root, k_root",152.0447671957672,271.6059469741276,0.12497175624325689,30
k_shoot,decision_tree,"gr50_avg, na_shoot, na_root, cl_shoot, cl_root, k_root",180.45138888888889,324.18692149660274,-0.2480488929108383,30
na_root,knn_3,"gr50_avg, na_shoot, cl_shoot, cl_root, k_shoot, k_root",112.91388888888889,214.87964151940074,0.3876063980862077,30
na_root,knn_5,"gr50_avg, na_shoot, cl_shoot, cl_root, k_shoot, k_root",117.55888888888889,216.73756763012318,0.34654648112332126,30
na_root,random_forest,"gr50_avg, na_shoot, cl_shoot, cl_root, k_shoot, k_root",116.88827916666669,220.04471867442777,0.37381336106549984,30
na_root,decision_tree,"gr50_avg, na_shoot, cl_shoot, cl_root, k_shoot, k_root",128.84722222222223,244.29374110779926,0.23589278313780956,30
na_root,ridge_regression,"gr50_avg, na_shoot, cl_shoot, cl_root, k_shoot, k_root",143.24713728194908,251.50111554083136,0.14331342594854618,30
na_shoot,random_forest,"gr50_avg, na_root, cl_shoot, cl_root, k_shoot, k_root",102.26250324074074,168.24499995701092,0.4828724511707198,30
na_shoot,knn_3,"gr50_avg, na_root, cl_shoot, cl_root, k_shoot, k_root",99.6425925925926,170.56534626259523,0.47164932442311064,30
na_shoot,knn_5,"gr50_avg, na_root, cl_shoot, cl_root, k_shoot, k_root",98.06444444444446,173.4626965981767,0.4537065202439683,30
na_shoot,decision_tree,"gr50_avg, na_root, cl_shoot, cl_root, k_shoot, k_root",113.07777777777777,186.99795564836177,0.37998971645028545,30
na_shoot,ridge_regression,"gr50_avg, na_root, cl_shoot, cl_root, k_shoot, k_root",111.06982344037034,188.59080402740437,0.3098525935984385,30
